Results from heasarc_atnfpulsar: ATNF Pulsar Catalog
Coordinate system: Equatorial
|name            |period               |period_error|period_dot |period_dot_error|median_mass|age     |corr_age |
|PSR J0023+0923  |0.003050203104754390 |     4.0e-18|1.14235e-20|         1.4e-25|     0.0189|4.23e+09| 5.47e+09|
|PSR J0613-0200  |0.003061844088621657 |     1.0e-17|9.59043e-21|         1.8e-25|     0.1499|5.06e+09| 5.42e+09|
|PSR J1536-4948  |0.0030799140584053   |     6.0e-16|2.11895e-20|         1.0e-24|     0.3222|2.30e+09| 2.35e+09|
|PSR J1400-1431  |0.00308423326039194  |     8.0e-17|7.23330e-21|         1.5e-24|     0.3102|6.76e+09| 1.55e+11|
|PSR J1125-5825  |0.00310221391893416  |     1.6e-16|6.08990e-20|         2.0e-24|     0.3096|8.07e+08| 8.26e+08|
|PSR J2214+3000  |0.003119226581323024 |     1.2e-17|1.47285e-20|         4.0e-25|     0.0154|3.36e+09| 3.88e+09|
|PSR J0614-3329  |0.003148669579439    |     9.0e-15|1.75000e-20|         7.0e-22|     0.3242|2.84e+09| 2.85e+09|
|PSR J1614-2230  |0.003150807655690673 |     3.0e-18|9.62423e-21|         6.0e-26|     0.4712|5.19e+09| 1.25e+10|
|PSR J1717+4308A |0.0031597205227830   |     5.0e-16|6.11300e-20|         3.0e-23|     0.1827|8.19e+08| 8.41e+08|
|PSR J1640+2224  |0.0031633158188015911|     2.0e-18|2.81727e-21|         6.0e-26|     0.2903|1.78e+10| 3.94e+10|
|PSR J1946+3417  |0.00317013917902887  |     8.0e-17|3.16400e-21|         4.0e-24|     0.2490|1.59e+10|-4.53e+10|
|PSR J1816+4510  |0.0031931035538505   |     2.0e-16|4.31000e-20|         1.0e-23|     0.1848|1.17e+09| 1.21e+09|
|PSR J1701-3006E |0.0032337373331158   |     6.5e-15|3.10300e-19|         2.7e-21|     0.0352|1.65e+08| 1.66e+08|
|PSR J1910-5959A |0.00326618657079054  |     9.0e-17|2.94703e-21|         1.4e-25|     0.2166|1.76e+10| 2.48e+10|
|PSR J1630+3734  |0.0033181121293936   |     9.0e-16|1.07700e-20|         9.0e-23|     0.2738|4.88e+09| 6.34e+09|
|PSR J1824-2452N |0.00335287243686099  |     1.1e-16|1.59209e-19|         4.0e-25|     0.0213|3.34e+08| 3.41e+08|
|PSR J1836-2354A |0.0033543360829062   |     1.0e-16|2.31800e-21|         3.0e-24|     0.0196|2.29e+10|-4.65e+10|
|PSR J1701-3006D |0.0034177704450548   |     1.7e-15|1.25700e-19|         2.4e-21|     0.1416|4.31e+08| 4.37e+08|
|PSR J2317+1439  |0.0034452510723611   |     5.0e-16|2.43060e-21|         1.7e-24|     0.2012|2.25e+10| 2.44e+10|
|PSR J2322-2650  |0.00346309917908790  |     1.1e-16|5.83400e-22|         1.5e-24|     0.0009|9.41e+10| 1.25e+11|
|PSR J0751+1807  |0.00347877083927942  |     4.0e-17|7.78740e-21|         5.0e-25|     0.1496|7.08e+09| 9.14e+09|
|PSR J0024-7204R |0.00348046270749329  |     1.3e-16|1.48352e-19|         3.0e-24|     0.0299|3.72e+08| 3.75e+08|
|PSR J0024-7204E |0.00353632915276244  |     4.0e-17|9.85103e-20|         6.0e-25|     0.1809|5.69e+08| 5.77e+08|
|PSR J1933-6211  |0.0035434314937910   |     3.0e-16|3.87070e-21|         9.0e-25|     0.3824|1.45e+10| 1.84e+10|
|PSR J1545-4550  |0.003575288623474622 |     1.1e-17|5.24544e-20|         3.0e-25|     0.1788|1.08e+09| 1.08e+09|
|PSR J2234+0611  |0.003576581631673108 |     7.0e-18|1.20142e-20|         1.3e-25|     0.2209|4.72e+09| 9.74e+09|
|PSR J1514-4946  |0.0035893366796749   |     7.0e-16|1.86460e-20|         1.1e-23|     0.1978|3.05e+09| 4.94e+09|
|PSR J1903-7051  |0.0035978980188911   |     1.1e-15|1.04300e-20|         6.0e-23|     0.3355|5.46e+09| 7.38e+09|
|PSR J1600-3053  |0.003597928510587011 |     1.0e-17|9.49970e-21|         1.7e-25|     0.2401|6.00e+09| 6.56e+09|
|PSR J1911-1114  |0.003625745633114    |     5.0e-15|1.39500e-20|         4.0e-23|     0.1396|4.12e+09| 5.04e+09|
|PSR J2234+0944  |0.003627027895734231 |     1.4e-17|2.01003e-20|         6.0e-25|     0.0178|2.86e+09| 4.30e+09|
|PSR J1828+0625  |0.0036275626138329   |     1.1e-15|4.69500e-21|         6.0e-24|     0.3180|1.22e+10| 2.46e+10|
|PSR J0024-7204P |0.0036430207         |     3.0e-10|6.60000e-19|         4.0e-20|     0.0199|8.70e+07| 8.72e+07|
|PSR J1740-5340A |0.00365032889720     |     1.0e-14|1.68000e-19|         7.0e-21|     0.2153|3.44e+08| 3.59e+08|
|PSR J1231-1411  |0.003683878711077    |     3.0e-15|2.28000e-20|         1.4e-22|     0.2153|2.56e+09| 7.13e+09|
|PSR J2129-5721  |0.003726348486023947 |     1.0e-17|2.08536e-20|         1.0e-25|     0.1540|2.83e+09| 3.76e+09|
|PSR J1741+1351  |0.003747154500259940 |     8.0e-18|3.02165e-20|         1.5e-25|     0.2799|1.96e+09| 2.11e+09|
|PSR J1622-0315  |0.003845429067931    |     3.0e-15|1.16000e-20|         1.0e-22|     0.1125|5.25e+09|-1.03e+10|
|PSR J0610-2100  |0.00386132476693726  |     9.0e-17|1.23266e-20|         1.1e-25|     0.0247|4.96e+09| 4.04e+10|
|PSR J1751-2857  |0.003914873259435    |     3.0e-15|1.12100e-20|         3.0e-23|     0.2258|5.53e+09| 5.93e+09|
|PSR J2019+2425  |0.00393452408033124  |     1.1e-16|7.02370e-21|         1.2e-24|     0.3643|8.88e+09| 4.72e+10|
|PSR J1937+1658  |0.00395766764533531  |     1.6e-16|1.32020e-20|         5.0e-24|     0.2211|4.75e+09| 5.09e+09|
|PSR J0024-7204Q |0.00403318118457258  |     1.5e-16|3.40080e-20|         4.0e-24|     0.2069|1.88e+09| 1.97e+09|
|PSR J0509+0856  |0.0040558382315644   |     5.0e-16|4.41200e-21|         1.2e-23|     0.1307|1.46e+10| 1.60e+10|
|PSR J1853+1303  |0.00409179738358213  |     6.0e-17|8.71710e-21|         1.1e-24|     0.2814|7.44e+09| 7.64e+09|
|PSR J1807-2459B |0.00418617720284089  |     2.5e-16|8.23245e-20|         1.8e-24|     1.4773|8.06e+08| 9.07e+08|
|PSR J1125+7819  |0.00420160911826384  |     6.0e-17|6.94300e-21|         4.0e-24|     0.3297|9.59e+09| 5.98e+12|
|PSR J1312+0051  |0.0042280189916604   |     2.0e-16|1.75270e-20|         3.0e-24|     0.2053|3.82e+09| 8.29e+09|
|PSR J1950+2414  |0.0043047754832565   |     7.0e-16|1.88050e-20|         7.0e-24|     0.2969|3.63e+09| 3.91e+09|
|PSR J0024-7204U |0.00434282669639233  |     1.2e-16|9.52279e-20|         1.7e-24|     0.1431|7.23e+08| 7.35e+08|
|PSR J1813-2621  |0.0044300116286341   |     1.8e-15|1.24660e-20|         6.0e-24|     0.2204|5.63e+09|-1.21e+10|
|PSR J1708-3506  |0.0045051589484591   |     7.0e-16|1.14210e-20|         1.1e-23|     0.1882|6.25e+09| 6.96e+09|
|PSR J2051-0827  |0.00450864182000643  |     1.1e-16|1.27330e-20|         7.0e-24|     0.0309|5.61e+09| 5.89e+09|
|PSR J2042+0246  |0.0045337267023282   |     3.0e-16|1.40300e-20|         6.0e-23|     0.2161|5.12e+09| 6.52e+09|
|PSR J1713+0747  |0.004570136598623225 |     7.0e-18|8.52963e-21|         5.0e-26|     0.3242|8.49e+09| 9.10e+09|
|PSR J1643-1224  |0.004621641526749906 |     2.0e-17|1.84630e-20|         2.0e-25|     0.1388|3.97e+09| 4.06e+09|
|PSR J1709+2313  |0.0046311962778409   |     2.0e-16|3.63000e-21|         4.0e-23|     0.3169|2.02e+10| 6.84e+10|
|PSR J1048+2339  |0.0046651629372704   |     5.0e-16|3.00800e-20|         5.0e-23|     0.3551|2.46e+09| 3.67e+09|
|PSR J0024-7204X |0.00477152291069356  |     5.0e-17|1.83610e-20|         7.0e-25|     0.4186|4.12e+09| 4.56e+09|
|PSR J1824-2452M |0.0047842842982785   |     7.0e-16|1.22818e-19|         3.0e-24|     0.0121|6.17e+08| 6.43e+08|
|PSR J1326-4728B |0.00479186916127     |     1.2e-13|2.80000e-20|         1.0e-20|     0.0156|2.76e+09| 3.16e+09|
|PSR J1748-2446an|0.0048023377671501   |     5.0e-16|1.55750e-19|         6.0e-23|     0.5043|4.89e+08| 4.96e+08|
|PSR J2010+3051  |0.0048162745133088   |     5.0e-16|4.86700e-21|         1.7e-23|     0.2373|1.57e+10|-2.00e+10|
|PSR J1910+1256  |0.004983583942570281 |     1.0e-17|9.67980e-21|         3.0e-25|     0.2245|8.16e+09| 9.02e+09|
|PSR J0514-4002A |0.004990575114112    |     3.0e-15|7.00000e-22|         1.3e-22|     1.1051|1.13e+11|-2.59e+12|
|PSR J1142+0119  |0.0050752983064042   |     5.0e-16|1.49900e-20|         1.0e-23|     0.1767|5.36e+09|-2.86e+08|
|PSR J2302+4442  |0.00519232464875420  |     3.0e-17|1.38681e-20|         1.1e-24|     0.3439|5.93e+09| 6.09e+09|
|PSR J1012+5307  |0.00525574902131628  |     5.0e-17|1.71270e-20|         5.0e-25|     0.1246|4.86e+09| 7.41e+09|
|PSR J1732-5049  |0.0053125502904328   |     3.0e-16|1.41910e-20|         6.0e-24|     0.2093|5.93e+09| 7.11e+09|
|PSR J1857+0943  |0.005362100549682627 |     1.5e-17|1.78400e-20|         1.8e-25|     0.2837|4.76e+09| 4.92e+09|
|PSR J0437-4715  |0.005757451936712637 |     1.7e-17|5.72922e-20|         1.7e-25|     0.1637|1.59e+09| 6.64e+09|
|PSR J1719-1438  |0.0057901517700238   |     5.0e-16|8.04300e-21|         7.0e-24|     0.0013|1.14e+10| 1.23e+10|
|PSR J1738+0333  |0.0058500958597756860|     1.1e-18|2.41199e-20|         1.4e-25|     0.1040|3.84e+09| 4.11e+09|
|PSR J2033+1734  |0.00594895754058564  |     4.0e-17|1.11460e-20|         3.0e-24|     0.2191|8.46e+09| 1.19e+10|
|PSR J1750-3703B |0.006074542086503    |     6.0e-15|1.92000e-20|         5.0e-22|     0.1924|5.02e+09| 7.64e+09|
|PSR J1955+2908  |0.00613316651623409  |     3.0e-17|2.97397e-20|         1.2e-24|     0.2083|3.27e+09| 3.46e+09|
